timestamp, temp int, temp ext, temp usr, perc resistor, perc cooler
23-01-2023 17:22:29, 36, 24, 40, 0, 0
23-01-2023 17:22:31, 35, 24, 40, 0, 0
23-01-2023 17:22:33, 35, 24, 40, 0, 0
23-01-2023 17:22:36, 35, 24, 40, 0, 0
23-01-2023 17:22:38, 35, 24, 40, 0, 0
23-01-2023 17:22:41, 35, 24, 40, 0, 0
23-01-2023 17:22:43, 35, 24, 40, 0, 0
23-01-2023 17:22:45, 35, 24, 40, 0, 0
23-01-2023 17:22:48, 34, 24, 40, 0, 0
23-01-2023 17:22:50, 34, 24, 40, 0, 0
23-01-2023 17:22:52, 34, 24, 40, 0, 0
23-01-2023 17:22:55, 34, 24, 40, 0, 0
23-01-2023 17:22:57, 34, 24, 40, 0, 0
23-01-2023 17:23:00, 34, 24, 40, 0, 0
23-01-2023 17:23:02, 34, 24, 40, 0, 0
23-01-2023 17:23:04, 34, 24, 40, 0, 0
23-01-2023 17:23:07, 34, 24, 40, 0, 0
23-01-2023 17:23:09, 34, 24, 40, 0, 0
23-01-2023 17:23:12, 34, 24, 40, 0, 0
23-01-2023 17:23:14, 34, 24, 40, 0, 0
23-01-2023 17:23:16, 34, 24, 40, 0, 0
23-01-2023 17:23:19, 34, 24, 40, 0, 0
23-01-2023 17:23:21, 34, 24, 40, 0, 0
23-01-2023 17:23:24, 34, 24, 40, 0, 0
23-01-2023 17:23:26, 34, 24, 40, 0, 0
23-01-2023 17:23:29, 34, 24, 40, 0, 0
23-01-2023 17:23:31, 34, 24, 40, 0, 0
23-01-2023 17:23:34, 34, 24, 40, 0, 0
23-01-2023 17:23:39, 34, 24, 40, 100, 0
23-01-2023 17:23:41, 34, 24, 40, 100, 0
23-01-2023 17:23:44, 34, 24, 40, 100, 0
23-01-2023 17:23:47, 34, 24, 40, 100, 0
23-01-2023 17:23:49, 34, 24, 40, 100, 0
23-01-2023 17:23:52, 34, 24, 40, 100, 0
23-01-2023 17:23:55, 34, 24, 40, 100, 0
23-01-2023 17:23:57, 34, 24, 40, 100, 0
23-01-2023 17:24:00, 34, 24, 40, 100, 0
23-01-2023 17:24:02, 34, 24, 40, 100, 0
23-01-2023 17:24:05, 34, 24, 40, 100, 0
23-01-2023 17:24:07, 34, 24, 40, 100, 0
23-01-2023 17:24:10, 34, 24, 40, 100, 0
23-01-2023 17:24:13, 34, 24, 40, 100, 0
23-01-2023 17:24:15, 34, 24, 40, 100, 0
23-01-2023 17:24:18, 34, 24, 40, 100, 0
23-01-2023 17:24:20, 34, 24, 40, 100, 0
23-01-2023 17:24:23, 35, 24, 40, 100, 0
23-01-2023 17:24:26, 35, 24, 40, 100, 0
23-01-2023 17:24:29, 35, 24, 40, 100, 0
23-01-2023 17:24:33, 35, 24, 40, 0, 40
23-01-2023 17:24:35, 35, 24, 40, 100, 0
23-01-2023 17:24:38, 36, 24, 40, 78, 0
23-01-2023 17:24:41, 36, 24, 40, 72, 0
23-01-2023 17:24:43, 36, 24, 40, 100, 0
23-01-2023 17:24:46, 36, 24, 40, 38, 0
23-01-2023 17:24:50, 36, 24, 40, 3, 0
23-01-2023 17:24:52, 37, 24, 40, 21, 0
23-01-2023 17:24:55, 37, 24, 40, 0, 40
23-01-2023 17:24:58, 37, 24, 40, 58, 0
23-01-2023 17:25:00, 37, 24, 40, 0, 53
23-01-2023 17:25:03, 38, 24, 40, 16, 0
23-01-2023 17:25:06, 38, 24, 40, 37, 0
23-01-2023 17:25:08, 38, 24, 40, 33, 0
23-01-2023 17:25:11, 38, 24, 40, 30, 0
23-01-2023 17:25:14, 38, 24, 40, 26, 0
